,الشركة,السهم,القطاع,آخر سعر,نسبة التغيير,آخر تحديث
35,أميانتيت,2160,السلع الرأسمالية,5.75,2.68%,05 أغسطس 2019
36,أسمنت العربية,3010,المواد الأساسية,29.7,0.17%,05 أغسطس 2019
37,أسمنت اليمامة,3020,المواد الأساسية,19.5,0.52%,05 أغسطس 2019
38,اللجين,2170,المواد الأساسية,22.7,-0.87%,05 أغسطس 2019
39,أسمنت السعودية,3030,المواد الأساسية,70.1,-1.68%,05 أغسطس 2019
40,أسمنت القصيم,3040,المواد الأساسية,52,-1.33%,05 أغسطس 2019
41,أسمنت الجنوب,3050,المواد الأساسية,55.7,-1.59%,05 أغسطس 2019
42,أسمنت ينبع,3060,المواد الأساسية,33.3,1.52%,05 أغسطس 2019
43,أسمنت الشرقية,3080,المواد الأساسية,31.9,-1.69%,05 أغسطس 2019
44,أسمنت تبوك,3090,المواد الأساسية,14.02,-1.13%,05 أغسطس 2019
45,فيبكو,2180,المواد الأساسية,30.5,0.00%,05 أغسطس 2019
46,سابك,2010,المواد الأساسية,101.8,-2.30%,05 أغسطس 2019
47,سافكو,2020,المواد الأساسية,84.4,-1.52%,05 أغسطس 2019
48,أنابيب,2200,المواد الأساسية,9.8,-1.01%,05 أغسطس 2019
49,الزامل للصناعة,2240,المواد الأساسية,16.14,-0.74%,05 أغسطس 2019
50,نماء للكيماويات,2210,المواد الأساسية,20.6,-1.34%,05 أغسطس 2019
51,معدنية,2220,المواد الأساسية,15,-2.34%,05 أغسطس 2019
52,جبسكو,2090,المواد الأساسية,11.66,-0.68%,05 أغسطس 2019
53,المجموعة السعودية,2250,المواد الأساسية,23.72,-1.17%,05 أغسطس 2019
54,الكيميائية,2230,الرعاية الصحية,31.85,-0.16%,05 أغسطس 2019
55,الخزف السعودي,2040,السلع الرأسمالية,22.4,-0.88%,05 أغسطس 2019
56,مجموعة صافولا,2050,إنتاج الأغذية,31.6,-2.02%,05 أغسطس 2019
57,التصنيع,2060,المواد الأساسية,14.76,-2.12%,05 أغسطس 2019
58,الدوائية,2070,الادوية,25.75,-0.39%,05 أغسطس 2019
59,الأحساء,2140,السلع الرأسمالية,10.42,0.77%,05 أغسطس 2019
60,متطورة,2120,الإستثمار والتمويل,13,-0.15%,05 أغسطس 2019
61,الكابلات السعودية,2110,السلع الرأسمالية,33.9,-0.88%,05 أغسطس 2019
62,وفرة,2100,إنتاج الأغذية,11.58,-0.52%,05 أغسطس 2019
63,الغاز,2080,المرافق العامة,29.8,0.17%,05 أغسطس 2019
64,العقارية,4020,إدارة وتطوير العقارات,11.86,-0.34%,05 أغسطس 2019
65,البحري,4030,الطاقة,26,-1.14%,05 أغسطس 2019
66,سابتكو,4040,النقل,13.72,0.00%,05 أغسطس 2019
67,ساسكو,4050,تجزئة السلع الكمالية,17.4,2.84%,05 أغسطس 2019
68,أنعام القابضة,4061,تجزئة الأغذية,8.75,0.57%,05 أغسطس 2019
69,تهامة,4070,الإعلام والترفيه,37.9,0.40%,05 أغسطس 2019
70,عسير,4080,الإستثمار والتمويل,9.34,1.52%,05 أغسطس 2019
71,طيبة,4090,إدارة وتطوير العقارات,28.55,-0.17%,05 أغسطس 2019
72,مكة,4100,إدارة وتطوير العقارات,78.5,-0.13%,05 أغسطس 2019
73,باتك,4110,النقل,31.3,-3.69%,05 أغسطس 2019
74,الباحة,4130,الإستثمار والتمويل,17.9,0.11%,05 أغسطس 2019
75,صادرات,4140,السلع الرأسمالية,70.5,0.57%,05 أغسطس 2019
76,التعمير,4150,إدارة وتطوير العقارات,14.94,-0.53%,05 أغسطس 2019
77,ثمار,4160,تجزئة الأغذية,21.1,2.33%,05 أغسطس 2019
78,شمس,4170,الخدمات الإستهلاكية,25.5,-1.16%,05 أغسطس 2019
79,مجموعة فتيحي,4180,السلع طويلة الاجل,11.5,-0.69%,05 أغسطس 2019
80,جرير,4190,تجزئة السلع الكمالية,165.2,-0.48%,05 أغسطس 2019
81,كهرباء السعودية,5110,المرافق العامة,19.4,0.21%,05 أغسطس 2019
82,الإتصالات,7010,الإتصالات,107,-0.74%,05 أغسطس 2019
83,الأسماك,6050,إنتاج الأغذية,51.1,-0.39%,05 أغسطس 2019
84,الشرقية للتنمية,6060,إنتاج الأغذية,43.35,-1.25%,05 أغسطس 2019
85,الجوف,6070,إنتاج الأغذية,22.52,-2.00%,05 أغسطس 2019
86,جازادكو,6090,إنتاج الأغذية,12.24,-1.45%,05 أغسطس 2019
87,الإستثمار,1030,البنوك,18.24,-1.08%,05 أغسطس 2019
88,صدق,2130,السلع طويلة الاجل,8.09,-1.34%,05 أغسطس 2019
89,التعاونية,8010,التأمين,73,0.00%,05 أغسطس 2019
90,إتحاد إتصالات,7020,الإتصالات,24.34,-0.16%,05 أغسطس 2019
91,البلاد,1140,البنوك,29,-1.69%,05 أغسطس 2019
92,سدافكو,2270,إنتاج الأغذية,121.6,-0.82%,05 أغسطس 2019
